0,Fresno State
1,Penn State
2,Mississippi State
3,Michigan
4,Oklahoma
5,South Carolina
6,Georgia
7,Alabama
8,Tennessee
9,LSU
10,Boston College
11,North Dakota State
12,Nebraska
13,Florida State
14,Cal
15,Eastern Michigan
16,Washington
17,Ole Miss
18,Michigan State
19,UNC
20,Northern Iowa
21,Buffalo
22,Georgia Tech
23,Eastern Washington
24,Oklahoma State
25,Louisville
26,USC
27,Iowa
28,Wisconsin
29,Maryland
30,Baylor
31,Arizona
32,Cincinnati
33,Stanford
34,Wyoming
35,Oregon
36,BYU
37,Kansas State
38,Clemson
39,Texas Tech
40,Texas A&M
41,Ohio State
42,Pitt
