0,A. J. Brown football
1,Aaron Donald
2,Allen Robinson
3,Alvin Kamara
4,Amari Cooper
5,Andrew Luck
6,Austin Hooper
7,Baker Mayfield
8,Budda Baker
9,Carson Wentz
10,Chris Godwin
11,Christian McCaffrey
12,Cooper Kupp
13,D. J. Chark
14,DK Metcalf
15,Dak Prescott
16,Dalvin Cook
17,Darren Waller
18,Davante Adams
19,David Johnson
20,DeAndre Hopkins
21,DeForest Buckner
22,Deebo Samuel
23,Derek Carr
24,Derrick Henry football
25,Deshaun Watson
26,Devin White football
27,Devonta Freeman
28,Don't'a Hightower
29,Dwayne Haskins
30,Eddie Lacy
31,Eric Reid
32,Evan Engram
33,Ezekiel Elliott
34,Frank Clark football
35,Fred Warner
36,George Kittle
37,Harold Landry
38,Hunter Renfrow
39,Jadeveon Clowney
40,Jaire Alexander
41,Jalen Ramsey
42,Jamal Adams
43,Jameis Winston
44,Jared Goff
45,Jarvis Landry
46,Joe Mixon
47,Joey Bosa
48,Josh Allen
49,Josh Jacobs
50,JuJu Smith-Schuster
51,Keenan Allen
52,Khalil Mack
53,Kirk Cousins
54,Kyler Murray
55,Lamar Jackson
56,Laremy Tunsil
57,Lavonte David
58,Le'Veon Bell
59,Leonard Williams
60,Luke Kuechly
61,Marcus Mariota
62,Mark Andrews football
63,Maxx Crosby
64,Mecole Hardman
65,Melvin Gordon
66,Michael Thomas
67,Mike Evans football
68,Mitchell Trubisky
69,Myles Garrett
70,Nick Bosa
71,Nick Chubb
72,Nick Foles
73,Odell Beckham Jr.
74,Patrick Mahomes
75,Robert Griffin 3
76,Russel Wilson
77,Ryan Tannehil
78,Saquon Barkley
79,Stefon Diggs
80,T. J. Watt
81,Teddy Bridgewater
82,Terry McLaurin
83,Todd Gurley
84,Travis Kelce
85,Tyler Lockett
86,Tyreek Hill
87,Vic Beasley
88,Vita Vea
89,Xavien Howard
90,Yannick Ngakoue
91,Zach Ertz
